4,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Memories Off: Yubikiri no Kikou,PlayStation Portable,2011,Adventure,5pb,0,0,0.02,0,0.02,,,,,,
Hurry Up Hedgehog!,Nintendo DS,2009,Racing,O-Games,0.02,0,0,0,0.02,,,,,,
L.G.S: Shinsetsu Houshinengi,PlayStation Portable,2012,Action,Idea Factory,0,0,0.02,0,0.02,,,,,,
Battle Engine Aquila,Xbox,2003,Shooter,Atari,0.01,0,0,0,0.02,76,28,tbd,,Lost Toys,T
Divinity: Original Sin,PC,2014,Role-Playing,Focus Home Interactive,0,0.02,0,0,0.02,87,59,8.7,2089,Larian Studios,M
One Piece Mansion,PlayStation,2001,Action,Capcom,0.01,0.01,0,0,0.02,62,12,tbd,,Capcom,E
Discworld II: Mortality Bytes!,PlayStation,1996,Adventure,PlayStationygnosis,0.01,0.01,0,0,0.02,,,,,,
Uchi no 3 Shimai Nintendo DS,Nintendo DS,2008,Misc,Culture Brain,0,0,0.02,0,0.02,,,,,,
Airline Tycoon,PC,2000,Simulation,Interplay,0,0.01,0,0,0.02,,,8,9,Spellbound,E
Soul Eater: Monotone Princess,Wii,2008,Action,Square Enix,0,0,0.02,0,0.02,,,,,,
Strike Witches: Shirogane no Tsubasa,Xbox 360,2010,Strategy,CyberFront,0,0,0.02,0,0.02,,,,,,
Kaleidoeve,PlayStation Vita,2015,Adventure,HuneX,0,0,0.02,0,0.02,,,,,,
Big Idea's VeggieTales: LarryBoy and the Bad Apple,Game Boy Advance,2006,Action,Crave Entertainment,0.01,0,0,0,0.02,,,,,,
Broken Sword 5: The Serpent's Curse,Xbox One,2015,Adventure,Revolution Software,0,0.02,0,0,0.02,77,12,7.2,11,Revolution Software,T
My Ballet Studio,Nintendo DS,2009,Simulation,505 Games,0.01,0,0,0,0.02,,,tbd,,505 Games,E
Metal Fight Beyblade: Choujou Kessen! Big Bang Bladers,Nintendo DS,2010,Action,HuNintendo DSon Soft,0,0,0.02,0,0.02,,,,,,
Moujuutsukai to Oujisama,PlayStation 2,2010,Adventure,Idea Factory,0,0,0.02,0,0.02,,,,,,
Rocksmith 2014 Edition Remastered,PlayStation 4,2016,Misc,Ubisoft,0.01,0,0,0,0.02,,,7.8,5,Ubisoft,T
Bomberman 2,Nintendo DS,2008,Puzzle,HuNintendo DSon Soft,0,0.01,0,0,0.02,,,,,,
Unreal Tournament 2004,PC,2004,Shooter,Atari,0,0.01,0,0,0.02,93,48,8.9,537,Epic Games,M
Shinseiki GPX Cyber Formula: Road To The INFINITY 4,PlayStation 2,2007,Racing,Sunrise Interactive,0,0,0.02,0,0.02,,,,,,
Cube,PlayStation Portable,2007,Puzzle,D3Publisher,0.02,0,0,0,0.02,60,18,tbd,,Metia Interactive,E
Pirates of the Burning Sea,PC,2008,Role-Playing,Koch Media,0,0.01,0,0,0.02,76,30,7.6,61,Flying Lab Software,T
Just Cause,PC,2006,Action,Eidos Interactive,0,0.01,0,0,0.02,75,21,7.3,206,Avalanche Studios,M
Army Men: Major Malfunction,Xbox,2006,Shooter,Global Star,0.01,0,0,0,0.02,36,6,4,5,Team 17,T
Dunamis 15,Xbox 360,2011,Adventure,5pb,0,0,0.02,0,0.02,,,,,,
Sansuu Puzzle de Migaku: Gakken Otona no Shikou Sense,Nintendo DS,2007,Misc,Gakken,0,0,0.02,0,0.02,,,,,,
Yoake Yori Ruriiro na Portable,PlayStation Portable,2010,Adventure,Kadokawa Shoten,0,0,0.02,0,0.02,,,,,,
Big Bass Fishing,PlayStation,2002,Action,Take-Two Interactive,0,0,0.02,0,0.02,,,7.2,6,Coresoft,E
Storm Lover 2nd V,PlayStation Vita,2016,Adventure,D3Publisher,0,0,0.02,0,0.02,,,,,,
Reine des Fleurs,PlayStation Vita,2015,Action,Idea Factory,0,0,0.02,0,0.02,,,,,,
Densha de Go! Shinkansen EX: Sanyou Shinkansen-hen,Wii,2007,Simulation,Taito,0,0,0.02,0,0.02,,,,,,
Namco Museum 50th Anniversary (JP sales),PlayStation 2,2005,Misc,Namco Bandai Games,0,0,0.02,0,0.02,,,,,,
Turbo: Super Stunt Squad,PlayStation 3,2013,Sports,D3Publisher,0,0.01,0,0,0.02,38,5,tbd,,Monkey Bar Games,E
The Haunted: Hell's Reach,PC,2011,Shooter,Visco,0.02,0,0,0,0.02,51,8,7.6,47,ValuSoft,M
Disciples III: Renaissance,PC,2010,Strategy,KalyPlayStationo Media,0,0.01,0,0,0.02,56,36,5.4,105,Akella,T
The Longest Journey,PC,1999,Adventure,Empire Interactive,0,0.01,0,0,0.02,91,26,8.9,439,Funcom,M
Mana Khemia 2: Ochita Gakuen to Renkinjutsushi Tachi Portable+,PlayStation Portable,2009,Role-Playing,Gust,0,0,0.02,0,0.02,,,,,,
Let's Pilates!,Nintendo DS,2007,Misc,Konami Digital Entertainment,0.02,0,0,0,0.02,,,tbd,,Vanpool,E
Irritating Stick,PlayStation,1998,Action,Saurus,0.01,0.01,0,0,0.02,,,,,,
Chou!! Super Nep League Nintendo DS,Nintendo DS,2008,Sports,Jaleco,0,0,0.02,0,0.02,,,,,,
WTA Tour Tennis,Game Boy Advance,2002,Sports,Konami Digital Entertainment,0.01,0,0,0,0.02,66,9,tbd,,Now Production,E
Lost: Via Domus,PC,2008,Action,Ubisoft,0,0.01,0,0,0.02,52,22,6,38,Ubisoft Montreal,T
Judge Dredd: Dredd Vs Death,Xbox,2003,Shooter,Vivendi Games,0.01,0,0,0,0.02,57,17,6.7,7,Rebellion,M
Rugby League Live 3,PlayStation 3,2015,Action,Tru Blu Entertainment,0,0.01,0,0,0.02,,,tbd,,Big Ant Studios,
Simple 2000 Series Vol. 105: The Maid Fuku to Kikanjuu,PlayStation 2,2006,Action,D3Publisher,0,0,0.02,0,0.02,,,,,,
Platypus,PlayStation Portable,2006,Shooter,Funsta,0.02,0,0,0,0.02,59,14,tbd,,Squashy Software,E
Davis Cup Tennis,Game Boy Advance,2002,Sports,Ubisoft,0.01,0,0,0,0.02,59,9,tbd,,Hokus Pokus,E
Pro Rally,GameCube,2002,Racing,Ubisoft,0.01,0,0,0,0.02,64,11,tbd,,Ubisoft,E
Kimi ni Todoke: Sodateru Omoi,Nintendo DS,2009,Adventure,Banpresto,0,0,0.02,0,0.02,,,,,,
Elven Legacy Collection,PC,2010,Strategy,Paradox Interactive,0,0.01,0,0,0.02,,,tbd,,1C:Ino-Co,
HanNintendo DS On! Tangrams,Nintendo DS,2009,Puzzle,Storm City Games,0.02,0,0,0,0.02,,,,,,
Brave Story: Boku no Kioku to Negai,Nintendo DS,2006,Role-Playing,Namco Bandai Games,0,0,0.02,0,0.02,,,,,,
Zombie Hunters 2,PlayStation 2,2006,Action,Essential Games,0,0,0.02,0,0.02,,,,,,
Memories Off #5: Encore,PlayStation 2,2007,Adventure,CyberFront,0,0,0.02,0,0.02,,,,,,
Custom Drive,PlayStation Portable,2012,Action,D3Publisher,0,0,0.02,0,0.02,,,,,,
Dark Void,PC,2010,Action,Capcom,0,0.01,0,0,0.02,57,22,5.1,67,Airtight Games,T
LEGO Star Wars: The Video Game,PC,2005,Action,Eidos Interactive,0,0.01,0,0,0.02,,,,,,
Tsuyo Kiss 2 Gakki: Swift Love,PlayStation 2,2009,Adventure,Revolution (Japan),0,0,0.02,0,0.02,,,,,,
Konductra,Nintendo DS,2006,Puzzle,O3 Entertainment,0.02,0,0,0,0.02,60,14,tbd,,oeFun,E
Samurai Jack: The Shadow of Aku,GameCube,2004,Action,Sega,0.01,0,0,0,0.02,59,17,tbd,,Adrenium,T
Cookie & Cream,Nintendo DS,2007,Platform,505 Games,0.01,0,0,0,0.02,,,,,,
Winning Post 7 2013,PlayStation Vita,2013,Sports,Tecmo Koei,0,0,0.02,0,0.02,,,,,,
The Incredibles: Rise of the Underminer,PC,2005,Action,THQ,0.01,0,0,0,0.02,65,5,tbd,,Heavy Iron Studios,E10+
PlayStationychedelica of the Black Butterfly,PlayStation Vita,2015,Action,Idea Factory,0,0,0.02,0,0.02,,,,,,
Stronghold LegenNintendo DS,PC,2006,Strategy,Take-Two Interactive,0,0.01,0,0,0.02,57,19,7.2,44,FireFly Studios,T
Let's Yoga!,Nintendo DS,2007,Misc,Konami Digital Entertainment,0,0,0.02,0,0.02,,,tbd,,Vanpool,E
Busou Renkin: Youkoso Papillon Park e,PlayStation 2,2007,Action,Marvelous Interactive,0,0,0.02,0,0.02,,,,,,
Ore wa Shoujo Mangaka,PlayStation Portable,2012,Action,Giza10,0,0,0.02,0,0.02,,,,,,
Emergency 2012,Nintendo DS,2010,Simulation,Rondomedia,0,0.01,0,0,0.02,,,,,,
Puyo Puyo Tetris,Wii U,2014,Puzzle,Sega,0,0,0.02,0,0.02,,,,,,
Exhibition Volume 6,Xbox,2004,Misc,Microsoft Game Studios,0.01,0,0,0,0.02,,,,,,
Oshiri Kajiri Mushi no Rhythm Lesson Nintendo DS: Kawai Ongaku Kyoushitsu Kanshuu,Nintendo DS,2008,Misc,Sega,0,0,0.02,0,0.02,,,,,,
Kuma no Pooh-San: 100 Acre no Mori no Cooking Book,Nintendo DS,2011,Misc,Disney Interactive Studios,0,0,0.02,0,0.02,,,,,,
Collar x Malice,PlayStation Vita,2016,Action,Idea Factory,0,0,0.02,0,0.02,,,,,Otomate,
Kao the Kangaroo Round 2,GameCube,2005,Platform,JoWood Productions,0.01,0,0,0,0.02,57,7,tbd,,Tate Interactive,E
The Dark Hills of Cherai,PC,2009,Puzzle,Unknown,0,0.01,0,0,0.02,,,tbd,,ChaYoWo Games,
Pirates PlundArrr,Wii,2010,Action,Majesco Entertainment,0.02,0,0,0,0.02,60,5,tbd,,Boomzap,E10+
Zoey 101: Field Trip Fiasco,Nintendo DS,2007,Action,THQ,0.02,0,0,0,0.02,31,4,tbd,,THQ,E
Dream C Club: GoGo ,PlayStation 3,2014,Adventure,D3Publisher,0,0,0.02,0,0.02,,,,,,
Usavichi: Game no Jikan,Nintendo DS,2011,Action,Namco Bandai Games,0,0,0.02,0,0.02,,,,,,
Summer Challenge: Athletics Tournament,Wii,2011,Sports,PQube,0,0.01,0,0,0.02,,,,,,
Battle Spirits: Hero's Soul,PlayStation Portable,2010,Role-Playing,Namco Bandai Games,0,0,0.02,0,0.02,,,,,,
Pachi-Slot Higrashi no Naku Koro ni Matsuri,PlayStation 2,2010,Misc,Alchemist,0,0,0.02,0,0.02,,,,,,
Otona no Renai Shousetsu: Harlequin Selection,Nintendo DS,2010,Misc,Nintendo,0,0,0.02,0,0.02,,,,,,
White Album 2: Shiawase no Mukougawa,PlayStation Vita,2013,Adventure,Aqua Plus,0,0,0.02,0,0.02,,,,,,
W.L.O. Sekai Renai Kikousen,Xbox 360,2010,Adventure,5pb,0,0,0.02,0,0.02,,,,,,
New Interpretation Stranger of Sword City,PlayStation Vita,2016,Role-Playing,Experience Inc.,0,0,0.02,0,0.02,,,,,,
Final Fantasy XI: All-In-One Pack 2006,Xbox 360,2006,Role-Playing,Square Enix,0,0,0.02,0,0.02,,,,,,
Pippa Funnell: Ranch Rescue,Wii,2007,Adventure,Ubisoft,0,0.01,0,0,0.02,,,,,,
Joint Operations: Combined Arms,PC,2009,Shooter,NovaLogic,0.01,0,0,0,0.02,,,,,,
Kadenz fermata//Akkord:fortissimo,PlayStation Vita,2014,Adventure,5pb,0,0,0.02,0,0.02,,,,,,
Worms World Party,PC,2001,Strategy,Virgin Interactive,0,0.01,0,0,0.02,75,8,7.6,68,Team 17,E
Poupee Girl Nintendo DS 2: Elegant Mint / Sweet Pink Style,Nintendo DS,2010,Misc,Alvion,0,0,0.02,0,0.02,,,,,,
Dancing on Ice,Nintendo DS,2010,Sports,Ghostlight,0,0.01,0,0,0.02,,,,,,
Winning Post 7: Maximum 2007,PlayStation 3,2007,Sports,Tecmo Koei,0,0,0.02,0,0.02,,,,,,
Professional Farmer 2016,PlayStation 4,2015,Action,Namco Bandai Games,0,0.01,0,0,0.02,,,,,,
Sarah: Keeper of the Unicorn,Nintendo DS,2009,Adventure,DreamCatcher Interactive,0.01,0,0,0,0.02,,,tbd,,,
Storm Lover 2nd,PlayStation Portable,2013,Misc,D3Publisher,0,0,0.02,0,0.02,,,,,,
Gears of War,PC,2007,Shooter,Microsoft Game Studios,0,0.01,0,0,0.02,87,36,7.8,567,Epic Games,M
Dragon Booster,Nintendo DS,2005,Shooter,Konami Digital Entertainment,0.02,0,0,0,0.02,33,14,7,9,Konami Computer Entertainment Hawaii,E
Dragon's Dogma Online: Season 2,PlayStation 4,2016,Action,Capcom,0,0,0.02,0,0.02,,,,,,
Gaist Crusher God,Nintendo 3DS,2014,Action,Capcom,0,0,0.02,0,0.02,,,,,,
DJ Star,Nintendo DS,2009,Misc,Deep Silver,0.01,0,0,0,0.02,66,7,tbd,,Game Life,T
Arcana Famiglia 2,PlayStation Portable,2013,Adventure,Comfort,0,0,0.02,0,0.02,,,,,,
Shinkyoku Soukai Polyphonica,PlayStation 2,2007,Adventure,Prototype,0,0,0.02,0,0.02,,,,,,
PDreamcast World Championship Darts 2008,Nintendo DS,N/A,Sports,Unknown,0.01,0,0,0,0.02,,,,,,
Post Mortem,PC,2003,Adventure,MicroiNintendo DS,0,0.01,0,0,0.02,71,25,8,28,MicroiNintendo DS,M
Kiss Bell,PlayStation Vita,2014,Adventure,Giga,0,0,0.02,0,0.02,,,,,,
San Goku Shi Nintendo DS 2,Nintendo DS,2007,Strategy,Tecmo Koei,0,0,0.02,0,0.02,,,,,,
Strongest Tokyo University Shogi Nintendo DS,Nintendo DS,1985,Action,Mycom,0,0,0.02,0,0.02,,,,,,
Shin Sangoku Musou Online: Souten Ranbu,PlayStation 3,2010,Action,Tecmo Koei,0,0,0.02,0,0.02,,,,,,
V-Rally 3,Xbox,2003,Racing,Atari,0.01,0,0,0,0.02,76,13,tbd,,Eden Studios,E
Wall-E,PC,2008,Platform,THQ,0,0.01,0,0,0.02,58,6,6.8,17,Heavy Iron Studios,E
Majesty 2: The Fantasy Kingdom Sim,PC,2009,Simulation,Paradox Interactive,0.01,0,0,0,0.02,72,31,7.3,129,"1C, Ino-Co, 1C Company",T
LEGO Star Wars II: The Original Trilogy,PC,2006,Action,Activision,0,0.01,0,0,0.02,86,20,8.2,64,Traveller's Tales,E10+
Dead to Rights,Game Boy Advance,2004,Shooter,Zoo Digital Publishing,0.01,0,0,0,0.02,40,5,tbd,,Torus Games,T
Thunder Force VI,PlayStation 2,2008,Shooter,Sega,0,0,0.02,0,0.02,,,,,,
Full House Kiss 2,PlayStation 2,2006,Adventure,Capcom,0,0,0.02,0,0.02,,,,,,
Dinotopia: The Sunstone Odyssey,GameCube,N/A,Action,Unknown,0.01,0,0,0,0.02,50,4,tbd,,Vicious Cycle,T
Daito Giken Koushiki Pachi-Slot Simulator: Ossu! Misao + Maguro Densetsu Portable,PlayStation Portable,2010,Misc,Paon,0,0,0.02,0,0.02,,,,,,
PachiPara 3D,Nintendo 3DS,2011,Misc,Irem Software Engineering,0,0,0.02,0,0.02,,,,,,
Earth Defense Force 2017 (old JP sales),Xbox 360,2006,Shooter,D3Publisher,0,0,0.02,0,0.02,,,,,,
I Doll U,PlayStation Vita,2015,Adventure,Idea Factory,0,0,0.02,0,0.02,,,,,,
Star Trek: Legacy,PC,2006,Simulation,Ubisoft,0,0.01,0,0,0.02,56,25,4,35,Mad Doc Software,E10+
Sengoku Hime: Senran ni Mau Otometachi,PlayStation 2,2009,Adventure,Yeti,0,0,0.02,0,0.02,,,,,,
GTI Club: Supermini Festa!,Wii,2010,Racing,Konami Digital Entertainment,0.01,0,0,0,0.02,,,,,,
Syberia II,PC,2004,Adventure,MC2 Entertainment,0,0.01,0,0,0.02,80,23,8.3,150,MicroiNintendo DS,T
Paranormal Pursuit: The Gifted One,PC,2015,Action,Alawar Entertainment,0,0.01,0,0,0.02,,,tbd,,Logris Games,
Command & Conquer Collection,PC,2003,Strategy,Electronic Arts,0.01,0,0,0,0.02,,,,,,
Marvel Superheroes 3D: Grandmaster's Challenge,Wii,2010,Action,Neko Entertainment,0,0.01,0,0,0.02,,,,,,
A Vampyre Story,PC,2008,Adventure,Crimson Cow,0,0.01,0,0,0.02,75,33,8.5,25,Autumn Moon,T
Monster Trux Offroad,Wii,2007,Racing,Popcorn Arcade,0.01,0,0,0,0.02,,,tbd,,Data Design Interactive,E
The Sims 4: Luxury Party Stuff,PC,2015,Simulation,Electronic Arts,0,0.01,0,0,0.02,,,5.3,12,Maxis,T
Sniper Elite,PC,2005,Shooter,MC2 Entertainment,0,0.01,0,0,0.02,76,13,8,142,Rebellion,M
Achtung Panzer: Kharkov 1943,PC,2010,Strategy,Mamba Games,0,0.01,0,0,0.02,70,6,8.3,20,Paradox Interactive,
Mission: Impossible - Operation Surma,GameCube,2004,Platform,Atari,0.01,0,0,0,0.02,64,9,tbd,,Paradigm Entertainment,T
Sora no Otoshimono Forte: Dreamy Season,Nintendo DS,2011,Adventure,Kadokawa Shoten,0,0,0.02,0,0.02,,,,,,
Romance of the Three Kingdoms XII,Wii U,2012,Strategy,Tecmo Koei,0,0,0.02,0,0.02,,,,,,
Hiiro no Kakera Portable,PlayStation Portable,2008,Adventure,Idea Factory,0,0,0.02,0,0.02,,,,,,
Trigger Man,GameCube,2004,Shooter,Crave Entertainment,0.01,0,0,0,0.02,,,tbd,,Point of View,T
Yuu Yuu Hakusho Nintendo DS: Ankoku Bujutsukai Hen,Nintendo DS,2006,Action,Takara Tomy,0,0,0.02,0,0.02,,,,,,
Antz Extreme Racing,Xbox,2002,Racing,Empire Interactive,0.01,0,0,0,0.02,35,4,8.7,10,Supersonic Software,E
Wand of Fortune R,PlayStation Vita,2016,Adventure,Idea Factory,0,0,0.02,0,0.02,,,,,,
Rugby World Cup 2015,PlayStation Vita,2015,Sports,Ubisoft,0,0.01,0,0,0.02,,,tbd,,HB Studios Multimedia,E
Majesty 2 Collection,PC,2011,Strategy,Paradox Interactive,0,0.01,0,0,0.02,,,8.3,10,Ino-Co,T
God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4,PlayStation 4,2016,Action,Namco Bandai Games,0,0,0.02,0,0.02,,,,,,
God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5,PlayStation 4,2016,Misc,Namco Bandai Games,0,0,0.02,0,0.02,,,,,,
"Nogizaka Haruka no Himitsu Cosplay, Hajime Mashita",PlayStation 2,2008,Adventure,ASCII Media Works,0,0,0.02,0,0.02,,,,,,
Harukanaru Toki no Naka de 6,PlayStation Portable,2015,Action,Tecmo Koei,0,0,0.02,0,0.02,,,,,,
Triggerheart Exelica,Dreamcast,2007,Shooter,Warashi,0,0,0.02,0,0.02,,,,,,
Jet Impulse,Nintendo DS,N/A,Simulation,Nintendo,0,0,0.02,0,0.02,,,,,,
Games Explosion!,Game Boy Advance,2006,Action,THQ,0.01,0,0,0,0.02,,,,,,
Gummy Bears Magical Medallion,Wii,2011,Platform,Storm City Games,0.01,0,0,0,0.02,,,tbd,,Clockwork Games,E
Saenai Kanojo no Sodatekata: Blessing Flowers,PlayStation Vita,2015,Action,5pb,0,0,0.02,0,0.02,,,,,,
Berserk and the Band of the Hawk,PlayStation Vita,2016,Action,Tecmo Koei,0,0,0.02,0,0.02,,,,,Omega Force,
Tennis no Oji-Sama: Card Hunter,PlayStation 2,2007,Strategy,Konami Digital Entertainment,0,0,0.02,0,0.02,,,,,,
Brave: The Video Game,Nintendo DS,2012,Action,Disney Interactive Studios,0,0.01,0,0,0.02,,,tbd,,Behaviour Interactive,E10+
Night Wizard the Video Game: Denial of the World,PlayStation 2,2008,Adventure,5pb,0,0,0.02,0,0.02,,,,,,
Enemy Territory: Quake Wars,PC,2007,Shooter,Activision,0.01,0,0,0,0.02,84,55,8.3,231,Splash Damage,T
Portable Island: Tenohira Resort,PlayStation Portable,2006,Simulation,Namco Bandai Games,0,0,0.02,0,0.02,,,,,,
Sengoku Efuda Yuugi: Hototogisu Ran,PlayStation Portable,2008,Misc,Irem Software Engineering,0,0,0.02,0,0.02,,,,,,
Tokyo Friend Park II Nintendo DS,Nintendo DS,2006,Misc,Rocket Company,0,0,0.02,0,0.02,,,,,,
Adventure Time: The Secret of the Nameless ,Nintendo 3DS,2014,Adventure,Little Orbit,0.01,0,0,0,0.02,,,,,,
Kao the Kangaroo Round 2,PlayStation 2,2005,Platform,JoWood Productions,0.01,0.01,0,0,0.02,58,12,8.7,7,Tate Interactive,E
Shin Hisui no Shizuku: Hiiro no Kakera 2 Portable,PlayStation Portable,2010,Adventure,Idea Factory,0,0,0.02,0,0.02,,,,,,
Dead Rising 2,Xbox One,2016,Action,Capcom,0.01,0,0,0,0.02,,,tbd,,Blue Castle Games,M
Robopon 2: Ring Version,Game Boy Advance,2001,Role-Playing,HuNintendo DSon Entertainment,0.01,0,0,0,0.02,68,6,tbd,,Red 5 Software,E
Mark McMorris Infinite Air,Xbox One,2016,Sports,FuRyu Corporation,0.01,0,0,0,0.02,,,7.1,18,HB Studios Multimedia,T
Sid Meier's Civilization Revolution 2+,PlayStation Vita,2015,Strategy,Take-Two Interactive,0,0,0.02,0,0.02,,,,,,
Dream Dancer,Nintendo DS,N/A,Misc,N/A,0.01,0,0,0,0.02,,,tbd,,"CyberPlanet Interactive Public Co., Ltd.",E
Moe Moe 2-ji Taisen (Ryoku) * Deluxe,PlayStation Portable,2008,Adventure,System Soft,0,0,0.02,0,0.02,,,,,,
Dragon Tales: Dragon Adventures,Game Boy Advance,2003,Platform,NewKiDreamcasto,0.01,0,0,0,0.02,,,,,,
Powerbike,Nintendo DS,2009,Racing,Majesco Entertainment,0.01,0,0,0,0.02,,,tbd,,Tornado Studios,E
Colin McRae Rally 2005,PC,2004,Racing,Codemasters,0,0.01,0,0,0.02,83,11,7.1,50,Codemasters,E
Violet no Atelier: Gramnad no Renkinjutsushi 2 - Gunjou no Omoide,PlayStation Portable,2011,Role-Playing,Gust,0,0,0.02,0,0.02,,,,,,
Elminage II Nintendo DS Remix: Sousei no Megami to Unmai no Daichi,Nintendo DS,2010,Role-Playing,Starfish,0,0,0.02,0,0.02,,,,,,
Gaku ? Ou: The Royal Seven Stars,PlayStation Portable,2012,Role-Playing,Alchemist,0,0,0.02,0,0.02,,,,,,
Quantum Break,PC,2016,Action,Microsoft Game Studios,0,0.01,0,0,0.02,66,14,4.3,539,Remedy Entertainment,M
Online Chess Kingdoms,PlayStation Portable,2006,Misc,Konami Digital Entertainment,0.01,0,0,0,0.02,60,17,6.8,6,Konami,E
Rayman 10th Anniversary,Game Boy Advance,2005,Platform,Ubisoft,0.01,0,0,0,0.02,,,,,,
RollerCoaster Tycoon: Gold Edition,PC,2002,Strategy,Infogrames,0.01,0,0,0,0.02,,,tbd,,Infogrames,E
Race Driver: Create & Race,Nintendo DS,2007,Racing,Codemasters,0.01,0,0,0,0.02,,,,,,
Storm Lover Kai!!,PlayStation Portable,2012,Action,D3Publisher,0,0,0.02,0,0.02,,,,,,
Minna to Issho,PlayStation Vita,2011,Misc,Sony Computer Entertainment,0,0,0.02,0,0.02,,,,,,
Nurarihyon no Mago: Hyakki Ryouran Taisen,PlayStation 3,2011,Fighting,Konami Digital Entertainment,0,0,0.02,0,0.02,,,,,,
FIFA Soccer 08,PC,2007,Sports,Electronic Arts,0,0.01,0,0,0.02,77,7,6.1,50,EA Canada,E
Enkaku Sousa: Sana e no 23 Hiai,PlayStation Portable,2009,Adventure,Sony Computer Entertainment,0,0,0.02,0,0.02,,,,,,
Pac-Man Championship Edition 2 + Arcade Game Series,Xbox One,2016,Action,Namco Bandai Games,0.01,0,0,0,0.02,,,,,,
Command & Conquer 4: Tiberian Twilight,PC,2010,Strategy,Electronic Arts,0,0.01,0,0,0.02,,,,,,
Hummer BadlanNintendo DS,Xbox,2006,Racing,Global Star,0.01,0,0,0,0.02,44,7,6,5,Eutechnyx,E
Katekyoo Hitman Reborn! Nintendo DS: Mafia Daishuugou Bongole Festival,Nintendo DS,2008,Action,Takara Tomy,0,0,0.02,0,0.02,,,,,,
Grisaia no Meikyuu: Le Labyrinthe de la Grisaia,PlayStation Vita,2014,Adventure,Prototype,0,0,0.02,0,0.02,,,,,,
Oyaku de Asoberu Nintendo DS Ehon: Ukkari Penelope,Nintendo DS,2008,Simulation,Tecmo Koei,0,0,0.02,0,0.02,,,,,,
Iron Soldier 3,PlayStation,1999,Simulation,Telegames,0.01,0.01,0,0,0.02,,,,,,
UNO 52,Nintendo DS,2006,Misc,Zoo Digital Publishing,0.01,0,0,0,0.02,,,tbd,,Black Lantern Studios,E
Tiger & Bunny: Hero's Day,PlayStation Portable,2013,Action,D3Publisher,0,0,0.02,0,0.02,,,,,,
Turbo: Super Stunt Squad,Wii,2013,Sports,D3Publisher,0,0.01,0,0,0.02,,,tbd,,Torus Games,E
Turbo: Super Stunt Squad,Nintendo 3DS,2013,Sports,D3Publisher,0,0.01,0,0,0.02,,,5.2,5,Torus Games,E
Pachinko Kaou: Misora Hibari,PlayStation 2,2007,Misc,Hackberry,0,0,0.02,0,0.02,,,,,,
Accel World: Kasoku no Chouten,PlayStation 3,2013,Adventure,Namco Bandai Games,0,0,0.02,0,0.02,,,,,,
Poupee Girl Nintendo DS,Nintendo DS,2009,Misc,Alvion,0,0,0.02,0,0.02,,,,,,
Choro Q,PlayStation 2,2003,Racing,Zoo Digital Publishing,0.01,0.01,0,0,0.02,,,,,,
Just Cause,PlayStation 2,2006,Action,Eidos Interactive,0.01,0.01,0,0,0.02,67,23,7.9,41,Avalanche Studios,M
Narcissus: Moshimo Ashita ga Runara,PlayStation Portable,2010,Adventure,Kadokawa Shoten,0,0,0.02,0,0.02,,,,,,
Girl Friend Beta: Kimi to Sugosu Natsuyasumi,PlayStation Vita,2015,Action,Namco Bandai Games,0,0,0.02,0,0.02,,,,,,
IHRA Drag Racing: Sportsman Edition,Xbox,2006,Racing,Bethesda Softworks,0.01,0,0,0,0.02,35,4,tbd,,Bethesda Softworks,E10+
"Sharin no Kuni, Himawari no Shoujo",Xbox 360,2010,Adventure,5pb,0,0,0.02,0,0.02,,,,,,
Simple Nintendo DS Series Vol. 42: The Haioku Byoutou,Nintendo DS,2008,Adventure,D3Publisher,0,0,0.02,0,0.02,,,,,,
Drone Tactics,Nintendo DS,2007,Strategy,Success,0.01,0,0,0,0.02,74,12,7.4,7,Success,E10+
So-Ra-No-Wo-To: Otome no Gojuusou,PlayStation Portable,2010,Adventure,Compile Heart,0,0,0.02,0,0.02,,,,,,
Technic Beat,PlayStation 2,2002,Misc,Arika,0.01,0.01,0,0,0.02,67,24,tbd,,Arika,E
Dance! It's Your Stage,Wii,N/A,Misc,DTP Entertainment,0,0.01,0,0,0.02,,,,,,
Worldwide Soccer Manager 2006,PC,2004,Sports,Sega,0,0.01,0,0,0.02,89,20,,,Sports Interactive,E
I Love Horses: Rider's Paradise,Wii,2010,Simulation,Destineer,0.01,0,0,0,0.02,,,tbd,,Destineer,E
DuckTales: Remastered,PC,2013,Action,Capcom,0,0.01,0,0,0.02,66,6,7.6,152,WayForward,E
Yume Neko Nintendo DS,Nintendo DS,2008,Simulation,Sega,0,0,0.02,0,0.02,,,,,,
Germany's Next Topmodel 2011,Nintendo DS,2011,Simulation,7G//AMES,0,0.01,0,0,0.02,,,,,,
Dream C Club,PlayStation 3,2012,Simulation,D3Publisher,0,0,0.02,0,0.02,,,,,,
Assetto Corsa,Xbox One,2016,Racing,505 Games,0,0.01,0,0,0.02,63,9,6.7,27,Kunos Simulazioni,E
SBK Superbike World Championship,PlayStation 2,2008,Racing,Black Bean Games,0.01,0.01,0,0,0.02,,,tbd,,Milestone S.r.l,E10+
